iter	frame	n_test	mean_returns	std_returns	max_returns	min_returns	n_test_train	mean_returns_train	std_returns_train	max_returns_train	min_returns_train	actor_loss	entropy_loss	value_loss	training_time	evaluation_time
0	0	10	0.8	1.32664991614216	4.0	0.0	10	1.8	2.4413111231467406	8.0	0.0	0	0	0	0.0	38.808999611910004
4	65536	10	1.0	1.3416407864998738	4.0	0.0	10	0.6	1.2806248474865698	4.0	0.0	-0.0009909008972983212	-2.6551493031000963	0.09396082270532596	11.338249971654378	22.902999770970002
8	131072	10	1.4	2.9732137494637008	10.0	0.0	10	1.4	2.537715508089904	8.0	0.0	-0.005123619933098337	-2.62689485870257	0.05025239474547968	11.663249970841877	10.352999896470001
12	196608	10	0.8	1.32664991614216	4.0	0.0	10	0.6	0.9165151389911679	2.0	0.0	-0.006403209400802211	-2.5577126142698567	0.05676515710259253	10.745249973136875	7.6079999239200005
16	262144	10	0.8	1.32664991614216	4.0	0.0	10	1.8	1.661324772583615	4.0	0.0	-0.006741840583249092	-2.5274262028286656	0.06179733705684053	11.366499971583751	5.512999944870001
20	327680	10	2.0	1.5491933384829668	4.0	0.0	10	1.2	1.32664991614216	4.0	0.0	-0.006209848062361535	-2.4809194179771907	0.05010054620857941	9.9389999751525	16.675999833240002
24	393216	10	3.0	5.157518783291051	18.0	0.0	10	1.8	2.2715633383201097	8.0	0.0	-0.008902616988337917	-2.416945365316237	0.055119303088171104	10.82849997292875	5.534999944650001
28	458752	10	1.8	2.2715633383201097	8.0	0.0	10	0.8	1.32664991614216	4.0	0.0	-0.009443055080663237	-2.368835692357629	0.0515592458681823	11.633249970916875	25.611999743880002
32	524288	10	0.6	1.2806248474865698	4.0	0.0	10	1.0	1.3416407864998738	4.0	0.0	-0.009153486718440303	-2.315059624371179	0.049661760135658164	11.58049997104875	4.057999959420001
36	589824	10	1.2	1.6	4.0	0.0	10	3.0	1.8439088914585775	6.0	0.0	-0.008020142045171662	-2.311644643304354	0.04800833202398415	10.1849999745375	41.23399958766001
40	655360	10	1.4	1.7999999999999998	6.0	0.0	10	2.6	2.009975124224178	6.0	0.0	-0.009130182342797492	-2.346154240026064	0.04776207155360955	10.744499973138751	20.728999792710002
44	720896	10	0.6	0.9165151389911679	2.0	0.0	10	0.4	0.8000000000000002	2.0	0.0	-0.010118590773503843	-2.285812581340785	0.040054854331246205	10.634749973413125	2.5719999742800006
48	786432	10	2.4	4.715930449020639	16.0	0.0	10	1.6	2.154065922853802	6.0	0.0	-0.010401985610595724	-2.322463087495637	0.04392139477352997	11.685749970785624	18.387999816120004
52	851968	10	1.4	1.2806248474865698	4.0	0.0	10	1.8	1.8867962264113207	6.0	0.0	-0.010205551932356501	-2.299651913105313	0.0493874099675033	12.429999968925	22.10099977899
56	917504	10	1.2	2.0396078054371136	6.0	0.0	10	1.8	2.4413111231467406	6.0	0.0	-0.009829971819460735	-2.2719462163863273	0.04538024284326562	11.729999970675001	18.682999813170003
60	983040	10	1.4	1.8000000000000003	4.0	0.0	10	1.4	1.2806248474865698	4.0	0.0	-0.010390330201950414	-2.298704546947244	0.04458276096577461	9.088999977277501	42.98799957012
64	1048576	10	0.8	1.32664991614216	4.0	0.0	10	2.6	3.104834939252005	8.0	0.0	-0.009686235560569861	-2.191999306053074	0.04074948534798707	10.365499974086251	11.613999883860002
68	1114112	10	0.8	0.9797958971132713	2.0	0.0	10	2.2	2.6	6.0	0.0	-0.0106493349122626	-2.2768601574115492	0.03961151143278572	11.284249971789375	25.014999749850006
72	1179648	10	1.2	1.32664991614216	4.0	0.0	10	2.4	2.1540659228538015	6.0	0.0	-0.010824212618984901	-2.314466352022996	0.0332897131607029	11.303249971741874	16.71499983285
76	1245184	10	2.0	2.3664319132398464	8.0	0.0	10	2.4	2.4979991993593593	8.0	0.0	-0.010400124138088523	-2.3259355994622983	0.03792125166697295	10.972749972568124	18.706999812930004
80	1310720	10	1.6	1.7435595774162693	4.0	0.0	10	4.0	5.796550698475776	20.0	0.0	-0.010059321695899792	-2.275140610596969	0.03763739416992633	12.22749996943125	26.501999734980004
84	1376256	10	1.0	1.61245154965971	4.0	0.0	10	1.0	1.8439088914585775	6.0	0.0	-0.010910415555145303	-2.289528533577845	0.03344329098900106	11.944749970138124	15.981999840180002
88	1441792	10	0.8	1.8330302779823362	6.0	0.0	10	1.4	1.562049935181331	4.0	0.0	-0.010217528379292247	-2.256300275289426	0.038818507121402356	10.399749974000626	16.86499983135
92	1507328	10	1.2	1.32664991614216	4.0	0.0	10	3.2	2.4	8.0	0.0	-0.01045788314162161	-2.2795558668782028	0.03478091886913697	10.9629999725925	43.19299956807001
96	1572864	10	1.8	2.891366458960192	10.0	0.0	10	3.8	1.4	6.0	2.0	-0.011602266297514837	-2.2715843565879332	0.036566915607616976	10.36949997407625	16.748999832510002
100	1638400	10	1.8	1.8867962264113207	6.0	0.0	10	1.2	1.6	4.0	0.0	-0.011067707444513616	-2.211108997233856	0.03743930234339009	11.84549997038625	21.535999784640005
104	1703936	10	1.4	2.009975124224178	6.0	0.0	10	2.4	1.4966629547095767	6.0	0.0	-0.010514737731496753	-2.261779571337337	0.03046374274876529	13.237999966904999	26.511999734880003
108	1769472	10	1.4	1.562049935181331	4.0	0.0	10	2.0	1.5491933384829668	4.0	0.0	-0.010269799668843711	-2.2603350651889906	0.03410165878821704	12.48249996879375	27.762999722370004
112	1835008	10	1.4	2.009975124224178	6.0	0.0	10	3.0	2.7202941017470885	10.0	0.0	-0.010937842997688914	-2.28312310055951	0.035662056428235576	12.406749968983126	20.115999798840004
116	1900544	10	1.2	1.6	4.0	0.0	10	3.0	2.23606797749979	6.0	0.0	-0.010673191787746786	-2.252233852708177	0.03752766551136592	12.216999969457499	21.031999789680004
120	1966080	10	1.8	1.077032961426901	4.0	0.0	10	2.2	2.4413111231467406	6.0	0.0	-0.010806169400980866	-2.251431047681888	0.03649331601732562	10.559749973600626	38.74599961254001
124	2031616	10	1.0	1.3416407864998738	4.0	0.0	10	3.4	2.3748684174075834	8.0	0.0	-0.010799191888596828	-2.2528866452612157	0.03821139797791167	10.7929999730175	32.01799967982001
128	2097152	10	0.8	0.9797958971132712	2.0	0.0	10	3.0	2.04939015319192	6.0	0.0	-0.00932645107629028	-2.2618337892123357	0.03957164095069653	10.694749973263125	9.32199990678
132	2162688	10	3.4	4.386342439892262	16.0	0.0	10	1.6	2.4979991993593593	8.0	0.0	-0.010821484736359029	-2.220734571185846	0.03574554685829386	13.095999967260001	33.932999660670006
136	2228224	10	2.4	2.6532998322843198	8.0	0.0	10	2.6	2.2	6.0	0.0	-0.009994388113096027	-2.1921061523458767	0.050234170179082764	12.329999969175	16.14399983856
140	2293760	10	1.6	1.4966629547095767	4.0	0.0	10	1.8	2.08806130178211	6.0	0.0	-0.010505277902481616	-2.2441952201373168	0.034057543415443405	11.472249971319375	40.23099959769001
144	2359296	10	1.2	1.3266499161421599	4.0	0.0	10	2.6	2.0099751242241783	6.0	0.0	-0.010719237263497808	-2.216840306686905	0.032472497954841716	12.11149996972125	25.124999748750003
148	2424832	10	0.8	0.9797958971132713	2.0	0.0	10	1.2	1.32664991614216	4.0	0.0	-0.010076352343135959	-2.2195527526411043	0.030830358636924078	10.933999972665	28.505999714940003
152	2490368	10	1.4	2.009975124224178	6.0	0.0	10	2.4	1.9595917942265424	6.0	0.0	-0.010559641032272258	-2.273845890920927	0.03107327967558476	10.2749999743125	46.213999537860005
156	2555904	10	0.4	0.8000000000000002	2.0	0.0	10	1.4	1.8	4.0	0.0	-0.010735054804873004	-2.268492849928271	0.03862506645562114	11.279749971800625	27.279999727200007
160	2621440	10	2.8	4.578209256903839	16.0	0.0	10	2.2	2.08806130178211	6.0	0.0	-0.010915535265742755	-2.225663850472989	0.032390172764544575	10.388749974028123	25.83299974167
164	2686976	10	2.2	2.08806130178211	6.0	0.0	10	3.8	2.6	10.0	0.0	-0.01025327456969444	-2.170656303338597	0.039220178243499215	10.895749972760626	45.299999547000006
168	2752512	10	1.6	1.9595917942265426	6.0	0.0	10	2.2	2.2715633383201093	6.0	0.0	-0.011579107925481806	-2.1073931950122353	0.033011521073500055	10.185749974535625	42.70499957295001
172	2818048	10	1.6	2.154065922853802	6.0	0.0	10	2.6	1.8	6.0	0.0	-0.01060719774624746	-2.109287651656891	0.02895387188074635	10.625499973436249	43.59599956404001
176	2883584	10	1.8	2.891366458960192	8.0	0.0	10	2.0	2.0	6.0	0.0	-0.011089398034585644	-2.125132145759626	0.03438829894129845	11.29349997176625	15.629999843700004
180	2949120	10	1.4	1.7999999999999998	6.0	0.0	10	2.8	2.5612496949731396	8.0	0.0	-0.010829107997257217	-2.174153568617526	0.0343653956431178	11.353749971615626	29.581999704180006
184	3014656	10	3.0	3.255764119219941	12.0	0.0	10	4.0	2.6832815729997477	10.0	0.0	-0.011094612031892489	-2.151259792123659	0.0342351910622519	11.095749972260624	30.820999691790007
188	3080192	10	1.4	2.009975124224178	6.0	0.0	10	2.6	2.2	6.0	0.0	-0.01030372320033459	-2.1597445853288315	0.03158086883351306	11.66349997084125	33.440999665590006
192	3145728	10	1.0	1.61245154965971	4.0	0.0	10	1.8	2.08806130178211	6.0	0.0	-0.009665687989484435	-2.114609367925194	0.03178918945349545	10.890249972774376	10.05899989941
196	3211264	10	0.8	0.9797958971132713	2.0	0.0	10	2.0	1.7888543819998317	6.0	0.0	-0.010689419872605	-2.0759084234956156	0.035168057109912096	10.644249973389375	23.835999761640004
200	3276800	10	1.2	1.32664991614216	4.0	0.0	10	2.0	2.1908902300206643	6.0	0.0	-0.010758635099380432	-2.122128034410356	0.029280474445216077	10.34949997412625	36.89899963101001
